Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,00,00,0000,INDIA,Urban,8,7049350,3698952,3350398,5920510,3145869,2774641,5920510,3145869,2774641,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Urban,9,5116305,2651971,2464334,4555626,2381722,2173904,4555626,2381722,2173904,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Urban,10,8042303,4280284,3762019,6841908,3683240,3158668,6841908,3683240,3158668,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Urban,11,5065421,2660354,2405067,4536608,2402584,2134024,4536608,2402584,2134024,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Urban,12,7558903,4016492,3542411,6303523,3389273,2914250,6303523,3389273,2914250,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Urban,13,5586302,2844626,2741676,4701078,2430024,2271054,4701078,2430024,2271054,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Urban,14,6211607,3228376,2983231,4851746,2567662,2284084,4851746,2567662,2284084,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Urban,15-19,30154067,16191573,13962494,17080084,9340872,7739212,13847856,7593385,6254471,2727005,1427281,1299724,371089,238758,132331,127542,78227,49315,6592,3221,3371
C3010,00,00,0000,INDIA,Urban,20-24,28365228,15193668,13171560,6102465,3759774,2342691,1283325,813569,469756,4389187,2659617,1729570,320521,219293,101228,96628,61617,35011,12804,5678,7126
C3010,00,00,0000,INDIA,Urban,25-29,25737253,13180373,12556880,773971,549867,224104,0,0,0,519905,368354,151551,165753,123171,42582,74172,52168,22004,14141,6174,7967
C3010,00,00,0000,INDIA,Urban,30-34,22445165,11673137,10772028,182124,119712,62412,0,0,0,105986,70177,35809,40867,28895,11972,23401,15975,7426,11870,4665,7205
C3010,00,00,0000,INDIA,Urban,35-59,71734880,38508777,33226103,259004,167407,91597,0,0,0,135030,90327,44703,58264,39717,18547,33500,23287,10213,32210,14076,18134
C3010,00,00,0000,INDIA,Urban,60+,19177607,9408722,9768885,50938,32306,18632,0,0,0,28628,19378,9250,10419,6406,4013,4876,3174,1702,7015,3348,3667
C3010,00,00,0000,INDIA,Urban,Age not stated,841654,465167,376487,20068,12123,7945,0,0,0,14364,8392,5972,3900,2660,1240,1323,792,531,481,279,202
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,All ages,10143700,5360926,4782774,2463443,1397468,1065975,2290691,1291632,999059,149235,89983,59252,14634,10143,4491,6716,4651,2065,2167,1059,1108
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,0-4,963603,497184,466419,31890,17270,14620,31890,17270,14620,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,5,237728,122741,114987,43814,24145,19669,43814,24145,19669,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,6,284472,145469,139003,101039,55032,46007,101039,55032,46007,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,7,217317,111487,105830,131183,71714,59469,131183,71714,59469,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,8,321662,165379,156283,212245,116821,95424,212245,116821,95424,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,9,231584,119404,112180,168889,92632,76257,168889,92632,76257,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,10,368272,190872,177400,257996,143718,114278,257996,143718,114278,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,11,178719,93395,85324,138960,77380,61580,138960,77380,61580,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,12,333604,172296,161308,236907,133429,103478,236907,133429,103478,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,13,210357,106871,103486,154716,85848,68868,154716,85848,68868,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,14,269707,139403,130304,187458,106794,80664,187458,106794,80664,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,15-19,1147081,592332,554749,587668,341414,246254,540040,313933,226107,42831,24368,18463,2780,1733,1047,1833,1288,545,184,92,92
